Image,Codec,Param,BPP,PSNR,SSIM,EncTime,DecTime
kodim01,JPEG,10.0,0.4398396809895833,24.774125089745237,0.7066334088115788,0.0028929077088832855,0.002875765785574913
kodim01,JPEG,30.0,0.9223225911458334,28.211136012443532,0.8483983523616541,0.004042337648570538,0.0035828789696097374
kodim01,JPEG,50.0,1.2572021484375,29.86791294787986,0.8918183539601797,0.0041951704770326614,0.0036798017099499702
kodim01,JPEG,70.0,1.7083536783854167,31.706023825942427,0.9260211568926411,0.006401626393198967,0.0022321268916130066
kodim01,JPEG,80.0,2.1467488606770835,33.3860866672045,0.9469273992083278,0.006728379055857658,0.002865285612642765
kodim01,JPEG,90.0,3.15313720703125,36.87849728652552,0.9733471381704145,0.005800730548799038,0.00292389839887619
kodim01,JPEG,95.0,4.394938151041667,40.47431183039475,0.9868274306859607,0.006495689041912556,0.004148316569626331
kodim01,BPG,40.0,0.5141805013020834,27.317434500844485,0.8028428378889688,0.3235376263037324,0.20500805228948593
kodim01,BPG,35.0,0.9265950520833334,30.55744377834148,0.8991946360237665,0.314612178131938,0.2145483661442995
kodim01,BPG,31.0,1.390625,33.48251150188106,0.9447559262669748,0.339300655759871,0.21769086457788944
kodim01,BPG,27.0,1.9592692057291667,36.44026117947577,0.9701523890549758,0.35623097233474255,0.22109479364007711
kodim01,BPG,23.0,2.6134440104166665,39.36413277322903,0.983301311647575,0.3554546032100916,0.21211953461170197
kodim01,BPG,19.0,3.36834716796875,42.05775935017413,0.9902141719430563,0.37302399054169655,0.20686616003513336
kodim01,BPG,15.0,4.251241048177083,44.31975910122752,0.9938942700518093,0.41295500565320253,0.20674536563456059
kodim01,JPEG-XL,5.0,0.6630452473958334,28.28230155529386,0.8361815271885273,0.2074976358562708,0.08953680284321308
kodim01,JPEG-XL,4.5,0.7395222981770834,28.699087153164044,0.8508589457787522,0.20986368879675865,0.07125928159803152
kodim01,JPEG-XL,3.5,0.9359130859375,30.045452705575187,0.8868706595884709,0.16921838372945786,0.08389896620064974
kodim01,JPEG-XL,2.8,1.16778564453125,31.483102158155795,0.9166086129288292,0.20077042188495398,0.07857934478670359
kodim01,JPEG-XL,1.7,1.7928059895833333,34.826974380223035,0.9597036969282896,0.19124326016753912,0.07640624884516001
kodim01,JPEG-XL,1.0,2.57476806640625,38.291671842345345,0.9809275735296389,0.20022116228938103,0.09154202230274677
kodim01,JPEG-XL,0.4,4.173360188802083,42.88726566108879,0.9928167615880646,0.1683829678222537,0.06876554153859615
kodim02,JPEG,10.0,0.22806803385416666,27.847839104812184,0.6925886979604993,0.005226053297519684,0.0027335993945598602
kodim02,JPEG,30.0,0.4752197265625,31.368470971214094,0.8094766674533128,0.0058702342212200165,0.002166513353586197
kodim02,JPEG,50.0,0.6891682942708334,32.84433254043093,0.8542294473458729,0.0036738598719239235,0.002883758395910263
kodim02,JPEG,70.0,0.9961344401041666,34.386485050812745,0.8892891148046765,0.00653743464499712,0.0022298600524663925
kodim02,JPEG,80.0,1.29852294921875,35.61685723797021,0.9117155152892994,0.004062484949827194,0.0020561441779136658
kodim02,JPEG,90.0,2.0257161458333335,37.89069165015466,0.9429909495466356,0.005054174922406673,0.002707955427467823
kodim02,JPEG,95.0,3.036865234375,40.15102159651178,0.9646205698981495,0.006398046389222145,0.005089352838695049
kodim02,BPG,40.0,0.23935953776041666,30.585417237261503,0.7702286024721309,0.27780415397137403,0.21236600819975138
kodim02,BPG,35.0,0.4293619791666667,33.02593761855843,0.8462074632741959,0.2829282134771347,0.21607640106230974
kodim02,BPG,31.0,0.7033487955729166,35.243299619953966,0.8972336670088549,0.303505789488554,0.24278712831437588
kodim02,BPG,27.0,1.1332194010416667,37.69135967071151,0.9355517739652083,0.3253913149237633,0.22790920548141003
kodim02,BPG,23.0,1.74481201171875,40.23491382006662,0.9608545943143955,0.38041682820767164,0.22807048726826906
kodim02,BPG,19.0,2.5275472005208335,42.64711634948686,0.9760670207307447,0.4140544980764389,0.23364754766225815
